TipoLuminaria,ColorSuelo,AlturaLuminaria,FlujoLuminicoTotal,TCC,IluminanciaAbajo,Espectro,ReflectanciaSuelo,IluminanciaSuperior
Philips Quijote BRP400 LED54-4s/740dm50,negro,80.0,5400.0,4257.0,1633.0,444.0,4.0,46.84
Philips Quijote BRP400 LED54-4s/740dm50,gris oscuro,80.0,5400.0,4257.0,1633.0,444.0,20.0,74.35
Philips Quijote BRP400 LED54-4s/740dm50,gris claro,80.0,5400.0,4257.0,1633.0,444.0,42.0,118.0
Philips Quijote BRP400 LED54-4s/740dm50,blanco,80.0,5400.0,4257.0,1633.0,444.0,66.0,152.6
Philips Quijote BRP400 LED54-4s/740dm50,morado,80.0,5400.0,4257.0,1633.0,444.0,4.0,57.25
Philips Quijote BRP400 LED54-4s/740dm50,rojo,80.0,5400.0,4257.0,1633.0,444.0,10.0,50.37
Philips Quijote BRP400 LED54-4s/740dm50,verde claro,80.0,5400.0,4257.0,1633.0,444.0,55.0,152.2
Philips Quijote BRP400 LED54-4s/740dm50,Verde oscuro,80.0,5400.0,4257.0,1633.0,444.0,11.0,100.2
Philips Quijote BRP400 LED54-4s/740dm50,marrón claro,80.0,5400.0,4257.0,1633.0,444.0,46.0,149.0
Philips Quijote BRP400 LED54-4s/740dm50,marrón oscuro,80.0,5400.0,4257.0,1633.0,444.0,11.0,65.0
Philips Quijote BRP400 LED54-4s/740dm50,negro,160.0,5400.0,4257.0,399.0,444.0,4.0,27.16
Philips Quijote BRP400 LED54-4s/740dm50,gris oscuro,160.0,5400.0,4257.0,399.0,444.0,20.0,31.48
Philips Quijote BRP400 LED54-4s/740dm50,gris claro,160.0,5400.0,4257.0,399.0,444.0,42.0,45.19
Philips Quijote BRP400 LED54-4s/740dm50,blanco,160.0,5400.0,4257.0,399.0,444.0,66.0,53.96
Philips Quijote BRP400 LED54-4s/740dm50,morado,160.0,5400.0,4257.0,399.0,444.0,4.0,32.43
Philips Quijote BRP400 LED54-4s/740dm50,rojo,160.0,5400.0,4257.0,399.0,444.0,10.0,32.43
Philips Quijote BRP400 LED54-4s/740dm50,verde claro,160.0,5400.0,4257.0,399.0,444.0,55.0,46.35
Philips Quijote BRP400 LED54-4s/740dm50,verde ,160.0,5400.0,4257.0,399.0,444.0,27.0,39.6
